link,src,tp,count,dst[0],dst[1],dst[2],dst[3]
2962,110,2,65536,1048,1047,,
3156,213,2,65536,1050,1049,,
3383,456,1,32768,1052,,,
3446,571,1,32768,1053,,,
2367,844,1,1,1016,,,
2399,844,1,1,1019,,,
2621,844,1,1,1041,,,
2764,844,1,1,1044,,,
2430,844,1,1,1027,,,
3663,844,1,1,1034,1033,1020,1017
2047,1016,1,16384,110,,,
2076,1016,1,16384,110,,,
2986,1017,2,65536,1048,1047,,
2100,1019,1,16384,213,,,
2129,1019,1,16384,213,,,
3180,1020,2,65536,1050,1049,,
2236,1027,1,16,839,,,
2207,1027,1,16,839,,,
2734,1033,1,8192,1052,,,
2685,1033,1,8192,1054,1041,,
2877,1034,1,8192,1053,,,
2828,1034,1,8192,1055,1044,,
3509,1047,2,32768,1054,,,
3572,1048,2,32768,1055,,,
2458,1049,2,32768,1037,,,
2510,1050,2,32768,1038,,,
2485,1052,2,32768,1037,,,
2537,1053,2,32768,1038,,,
2565,1037,1,8192,1039,,,
2595,1038,1,8192,1040,,,
2710,1054,2,32768,1041,,,
2853,1055,2,32768,1044,,,
3316,1039,1,8192,1051,,,
3339,1040,1,8192,1051,,,
2153,1041,2,32768,456,,,
2180,1044,2,32768,571,,,
2260,1051,2,1024,839,,,
2343,839,1,1024,960,,,
2317,960,1,1,844,,,
-------------PASS (DONE)------------
